"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
77,"Pat Perez","6762",-0.707724654239269,0.641602422121697,2.72427499278898,72.3577932621429,330,-0.593981886573609,0.36919323189924,1,"USA",83,"PGA Tour","PGA Tour",-0.893482098854671,0.603637744345077,1.12366262240647e-09,2.48496800945879,2.64764434323475
78,"Thongchai Jaidee","5973",-0.704904780195481,0.626037125257963,2.80279849529378,107.985471249555,405,0.20047751859796,0.439354696914487,1,"THA",108,"European Tour","European Tour",-0.862480294932459,0.596136697790789,9.63102409634337e-10,2.71280540475306,2.73198772380474
79,"Matt Every","10185",-0.70408212537032,0.634708704574929,2.89797218063179,84.2647226273779,328,-0.524177292031986,0.401366037951981,1,"USA",101,"PGA Tour","PGA Tour",-0.866904246847784,0.600002066820966,1.17671937661023e-09,2.93353188156955,2.82761164590412
80,"Luke Guthrie","15610",-0.703914476417231,0.662632655566347,2.90013098022737,71.4242151211776,152,-0.433554530774312,0.51895469859672,1,"USA",100,"PGA Tour","PGA Tour",-0.901293597076033,0.603946259901124,1.0567337654417e-09,2.94162285701266,2.82341595700167
81,"Daniel Summerhays","12424",-0.698932984510686,0.633691488043019,2.80773545998344,86.0528861225529,351,-0.526501078540312,0.403958031682659,1,"USA",101,"PGA Tour","PGA Tour",-0.858055655287351,0.599564479060946,1.25491067952904e-09,2.71563264856576,2.73529038883082
82,"Ben Martin","14007",-0.698819823808033,0.644797902112568,2.74880513733225,80.965522942244,246,0.255071120602187,0.458226491250386,0,"USA",93,"Web.com Tour","Web.com Tour",-0.90539547268806,0.601245573023692,8.52548359369894e-10,2.56147539708954,2.67210878305046
83,"Martin Laird","9586",-0.694328385951799,0.63857195279587,2.88906220406257,74.0722759637565,353,-0.704590687178584,0.358346881837758,1,"SCO",82,"PGA Tour","PGA Tour",-0.869931847599721,0.603150289187243,1.38984855492348e-09,2.92256808985931,2.81760648069338
84,"J.J. Henry","6222",-0.689892351889137,0.632484434314395,2.68862818732478,82.9693090030749,376,-0.541320990548644,0.374129340201627,1,"USA",97,"PGA Tour","PGA Tour",-0.85335729420386,0.60035597315706,1.38482774264069e-09,2.42352870114818,2.61317526584562
85,"Jerry Kelly","5151",-0.685967924337927,0.637033893196917,2.7554976899149,74.3482576745099,354,-0.52584032874038,0.349266499038846,1,"USA",85,"PGA Tour","PGA Tour",-0.868313980763458,0.602864001277306,1.3881866542705e-09,2.57388987557032,2.68084974178799
86,"Nicolas Colsaerts","6893",-0.672464216578746,0.633417678050911,2.76807522920996,85.1999514558704,346,-0.297159823069969,0.392160748288935,1,"BEL",84,"European Tour","European Tour",-0.841317482636608,0.600371494370396,1.56983694418510e-09,2.61988982869412,2.69462845670759
87,"Shingo Katayama","3770",-0.647115246878396,0.633172233035117,2.85716188515131,100.751063314483,353,0.736985180510201,0.461332962125617,0,"JPN",94,"Japan Golf Tour","Japan Golf Tour",-0.835257264618275,0.598616951860143,1.49787237285926e-09,2.82734923553376,2.78612041399411
88,"George McNeill","6419",-0.643464993167368,0.644711979937735,2.87834724045317,68.7789531882742,309,-0.576842506197535,0.361713282963692,1,"USA",79,"PGA Tour","PGA Tour",-0.835112502085233,0.604954322480308,2.21727925356742e-09,2.89753485334013,2.80521466193751
