"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3723,"Tournament Results Collected",2016-01-28,"Athens Regional Foundation Classic",2007-04-22
3724,"Tournament Results Collected",2016-01-28,"BMW Asian Open",2007-04-22
3725,"Tournament Results Collected",2016-01-28,"Tessali-Metaponto Open di Puglia e Basilicata",2007-04-22
3726,"Tournament Results Collected",2016-01-28,"Tsuruya Open",2007-04-22
3727,"Tournament Results Collected",2016-01-28,"Northern California Classic",2007-04-22
3728,"Tournament Results Collected",2016-01-28,"EDS Byron Nelson Championship",2007-04-29
3729,"Tournament Results Collected",2016-01-28,"Henrico County Open",2007-04-29
3730,"Tournament Results Collected",2016-01-28,"Open de Espana",2007-04-29
3731,"Tournament Results Collected",2016-01-28,"The Crowns",2007-04-29
3732,"Tournament Results Collected",2016-01-28,"Pine Valley Beijing Open",2007-04-29
3733,"Tournament Results Collected",2016-01-28,"Corona Mazatlan Classic",2007-04-29
3734,"Tournament Results Collected",2016-01-28,"Wachovia Championship",2007-05-06
3735,"Tournament Results Collected",2016-01-28,"Fort Smith Classic",2007-05-06
3736,"Tournament Results Collected",2016-01-28,"Telecom Italia Open",2007-05-06
3737,"Tournament Results Collected",2016-01-28,"GS Caltex Maekyung Open",2007-05-06
3738,"Tournament Results Collected",2016-01-28,"Ford Culiacan Open",2007-05-06
3739,"Tournament Results Collected",2016-01-28,"THE PLAYERS Championship",2007-05-13
3740,"Tournament Results Collected",2016-01-28,"Valle Romano Open de Andalucia",2007-05-13
3741,"Tournament Results Collected",2016-01-28,"A.G.F. Allianz Golf Open de Toulouse",2007-05-13
3742,"Tournament Results Collected",2016-01-28,"Japan PGA Championship",2007-05-13
3743,"Tournament Results Collected",2016-01-28,"Riviera Nayarit Classic",2007-05-13
3744,"Tournament Results Collected",2016-01-28,"AT&T Classic",2007-05-20
3745,"Tournament Results Collected",2016-01-28,"BMW Charity Pro-Am at The Cliffs",2007-05-20
3746,"Tournament Results Collected",2016-01-28,"Irish Open",2007-05-20
3747,"Tournament Results Collected",2016-01-28,"Telenet Trophy",2007-05-20
3748,"Tournament Results Collected",2016-01-28,"Munsingwear Open KSB Cup",2007-05-20
3749,"Tournament Results Collected",2016-01-28,"Macau Open",2007-05-20
3750,"Tournament Results Collected",2016-01-28,"Iberostar Riviera Maya Open",2007-05-20
3751,"Tournament Results Collected",2016-01-28,"BMW PGA Championship",2007-05-27
3752,"Tournament Results Collected",2016-01-28,"Crowne Plaza Invitational at Colonial",2007-05-27
3753,"Tournament Results Collected",2016-01-28,"Mitsubishi Diamond Cup",2007-05-27
3754,"Tournament Results Collected",2016-01-28,"Melwood Prince George's County Open",2007-05-27
3755,"Tournament Results Collected",2016-01-28,"Open Mahou de Madrid",2007-05-27
