"Player_ID","Player_Name"
896,"Greg Farrow"
897,"Scott Bess"
898,"Bob Makoski"
899,"A J Duncan"
900,"Terrance Dill"
901,"Mark Gurnow"
902,"Peter Persons"
903,"Peter Mathews"
904,"Ed Pfister"
905,"Mark King"
906,"Rick Meskell"
907,"Stan Utley"
908,"Jerry Smith"
909,"John Snyder"
910,"Ken Schall"
911,"Brian Kamm"
912,"Mike Franko"
913,"Gary Rusnak"
914,"Chris Holmes"
915,"Todd Hamilton"
916,"Randy Wylie"
917,"Clark Dennis"
918,"Bobby Mitchell"
919,"Doug Johnson"
920,"Richie Karl"
921,"Mark Jordan"
922,"Brian Watts"
923,"Gene Matthews"
924,"Mike Keller"
925,"Hugh Royer-III"
926,"Jeffrey Lankford"
927,"Dwight Nevil"
928,"Bert Yancy"
929,"John Riegger"
930,"Jim Wilson"
931,"John Horne"
932,"Eddie Kirby"
933,"Gary Pinns"
934,"Rocky Thompson"
935,"Mike McGee"
936,"Keith Kulzer"
937,"Bobby Heins"
938,"Kevin Denike"
939,"Vince Wisnes"
940,"Chip Hall"
941,"Gregg Wolff"
942,"Babe Hiskey"
943,"Dennis Meyer"
944,"Alberto Binaghi"
945,"John McHenry"
946,"Magnus Jonsson"
947,"Neal Briggs"
948,"Jesper Parnevik"
949,"Jamie Howell"
950,"Em"
951,"Mark Davis"
952,"Steven Bottomley"
953,"h22 h22"
954,"Carlo Knauss"
955,"Clive Tucker"
956,"Gery Watine"
957,"ZZZZZZZZ ZZZ"
958,"Marc Farry"
959,"Simon Townend"
960,"Magnus Grankvist"
961,"Craig Laurence"
962,"David R Jones"
963,"Jose Davila"
964,"Mark Litton"
965,"Peter Dahlberg"
966,"Bryan Lewis"
967,"Daniel Westermark"
968,"Jeremy Robinson"
969,"Jacob Rasmussen"
970,"Glyn Davies"
971,"Clas Hultman"
972,"John Hawksworth"
973,"Paul Mayo"
974,"Stephen Hamill"
975,"Chip Drury"
976,"Wraith Grant"
977,"Jonas Saxton"
978,"Andrea Canessa"
979,"Andrew Cotton"
980,"h26 h26"
981,"Philip Hinton"
982,"Aless"
983,"Michael Few"
984,"Leif Hederstrom"
985,"Lindsay Mann"
986,"Per A Brostedt"
987,"Sandy Stephen"
988,"Kelly Clair"
989,"James Spence"
990,"Heinz P Thuel"
991,"Steve Cipa"
992,"Ulf Nilsson"
993,"Dana Banke"
994,"Juan Pinero"
995,"Peter Allan"
996,"Murray Supple"
997,"Yvon Houssin"
998,"Brad Bell"
999,"Nich"
1000,"Tim Planchin"
1001,"Tom Lamore"
1002,"Jacques France"
1003,"i4 i4"
1004,"Peter Barber"
1005,"Jeff Cook"
1006,"Barry Conser"
1007,"Mark Trauner"
1008,"Steve Veriato"
1009,"Danny Mijovic"
1010,"Lai Chung-Chi"
1011,"Yuan Ching-Chi"
1012,"Yoonsoo Choi"
1013,"f25 f25"
1014,"Kyle Coody"
1015,"Sangho Choi"
1016,"Steve Schroeder"
1017,"Jay Nichols"
1018,"Nick Godin"
1019,"Yau Sui-Ming"
1020,"Robert Huxtable"
1021,"Hsu Chi-San"
1022,"Fred Dupre"
1023,"Mar"
1024,"Steve Chapman"
1025,"Andre Cruse"
1026,"TTTTTTTT TT"
1027,"R"
1028,"Don Robertson"
1029,"Ben Fouchee"
1030,"Bob McDonnell"
1031,"A"
1032,"Steven Burnett"
1033,"John Fourie"
1034,"RRRRRRRR RRR"
1035,"JJJJJJJ JJ"
1036,"Greg McDonald"
1037,"Jon Mannie"
1038,"John Mashego"
1039,"DDDDDDD DD"
1040,"Vin Baker"
1041,"Michael Bullock"
1042,"Paul v Zyl"
1043,"Peter v-d Riet"
1044,"Ross Palmer"
1045,"Brian Jacobs"
1046,"Karl Williams"
1047,"Ray Picker"
1048,"Gary Gilchrist"
1049,"NNNNNNNN NNN"
1050,"Marty Schiene"
1051,"Ashley Roestoff"
1052,"Phillip Hatchett"
1053,"Kelly Gidson"
1054,"Wayne Player"
1055,"Andy Morse"
1056,"Peter Mkata"
1057,"Bert v Biljon"
1058,"Doug Sanders"
1059,"Gay Brewer"
1060,"Stu Ingraham"
1061,"Tom Nieporte"
1062,"Shadrack Molefe"
1063,"Ian Kennedy"
1064,"David Whitfield"
1065,"Lee Rinker"
1066,"Garth Pearson"
1067,"Mark Bright"
1068,"Allan Modiba"
1069,"Solly Sepeng"
1070,"Russell Kotzen"
1071,"Norman Mashaba"
1072,"Steve Coetzee"
1073,"John Jackson"
1074,"Al Murdock"
1075,"Mike La Bauve"
1076,"Henry White"
1077,"Mike Malaska"
1078,"Kent Chase"
1079,"Jim Kish"
1080,"Jeff Mitchell"
1081,"Nigel Burch"
1082,"Graham Henning"
1083,"Bob Byman"
1084,"Jim Weedon"
1085,"Pietro Molteni"
1086,"Robin Ashby"
1087,"Mike White"
1088,"Zac Mavundla"
1089,"Terry Westbrook"
1090,"Adam Cockayne"
1091,"V"
1092,"Solly Mogare"
1093,"Fred Beaver"
1094,"Craig Ross"
1095,"Simon Brown"
1096,"Bob Boldt"
1097,"Shim La Goy"
1098,"Rick Rhoada"
1099,"Ed Luethke"
1100,"Mike Miles"
1101,"Rick Cramer"
1102,"Tommy Tominaga"
1103,"Jim Langley"
1104,"Dick Lotz"
1105,"Chris Roderick"
1106,"Maurie v Brugge"
1107,"Gene Littler"
1108,"Bob Klein"
1109,"Scott Hoyt"
1110,"Thomas Gleeton"
1111,"Danny Mays"
1112,"Tony Jackson"
1113,"Algy Kietzman"
1114,"Peter Famiano"
1115,"Richard Mogerane"
1116,"Mark Sharman"
1117,"Gordon Waugh"
1118,"Peter Croker"
1119,"Robert Stephens"
1120,"Robert Vershure"
